horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,8,ADVAIT,Top Class(USA),Kabini,5-2.,3y,b,g,Mr Shantanu Sharma,Bharath Singh,P Trevor,56,,A,TS,0,33,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
2,11,MASTER CLASS,Sanus Per Aquam(IRE),Bostonia,2-4.,3y,ch,g,"Mr B Vijay, Mr Rameshbhai Amrutlal Mehta & Mr L Arun Kumar",N Ravinder Singh,Gaurav Singh,56,,A,BLK-XNB,0,33,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
3,12,PHOEBUS,Saamidd(GB),Fairy Fantasy,,3y,b,c,M/s Arun Alagappan Racing LLP,A Imran Khan,Suraj Narredu,56,,A,,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
4,14,SMASHING GREY,Sir Cecil,Romantic Sunset,,3y,gr,c,Mr Syed Mohiuddin Mufeed,Magan Singh,P Sai Kumar,56,,A,,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
5,7,TWILIGHT KING,Twilight Son(GB),Angel's Kiss(GB),6-6.,3y,ch,g,Dr Suresh Chintamaneni,L V R Deshmukh,P Ajeeth Kumar,56,,A,TS-XNB,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
6,5,VIDYUTPRABHAVA,Kingda Ka(AUS),Sapphirine(IRE),,3y,b,c,Mr Vara Prasad Reddy,N Rawal,Md Ismail,56,,S,,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
7,13,WESEETHESAMESUN,Sporting Chance(GB),Castaway,10.,3y,dkb,c,Mr Maddali Sai Kumar,G Shashikanth,Ajay Kumar,56,,A,TS-XNB,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
8,9,WIND CASTLE,Crimson China(USA),Storm At Dawn(IRE),7-6.,3y,b,g,"Col. K S Garcha, Mr Sudarshan Singh Rathore Kanwar, Mr Rishiraj Singh Rathore & Mr Leeladhar Sharma",Laxman Singh,Kuldeep Singh,56,,A,TS,0,30,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
9,10,ANEMARA,Bated Breath(GB),My Sister Jo(GB),4.,3y,dkb,f,Mr C Aryama Sundaram,R H Sequeira,B R Kumar,54.5,,A,TS,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
10,6,KINSHIP,Chinese Whisper(IRE),Martinique,10-9.,3y,b,f,Mr Rajeev Sharma,Magan Singh,B Nikhil,54.5,,A,,0,27,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
11,2,LOVE ALL,French Navy(GB),Grey Mist,,3y,dkb,f,Mr M Raghunath rep. Gava Racing Syndicate LLP,K Satheesh,Jodha R S,54.5,,A,,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
12,4,N R I MEGA POWER,Portamento(IRE),N R I Sugar,6.,3y,b,f,Mr Ravinder Reddy Male & The Estate of Late Mr Sultan Singh,D Netto,Shivam,54.5,,A,,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
13,1,NORTHERN SKY,Ampere(FR),Kirkinola(GB),4-3.,3y,dkb,f,Mr V Narendar Reddy & Mr Vootkuri Avinash Reddy,G Shashikanth,Rafique Sk,54.5,,A,TS,0,28,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
14,3,VELVERA,Time Test(GB),Velvet Charm(GB),,3y,b,f,Mr C Aryama Sundaram & M/s Mukteshwar Racing LLP,L V R Deshmukh,Akshay Kumar,54.5,,A,,0,0,2,The Scarlet Prince Plate,Maiden / For Horses 3 Year Olds Only (Cat-2),1200 M,01:40 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
