25 May 2026 | BAN | Treasure Queen (Rafique Sk), Charming Prospect (A Ramu ), 1-12.5 600 In 45 Former 3 Lengths Ahead. | (-2) | 1000m | Outer Sand
14 Apr 2026 | BAN | Energetic Girl (Suhas K), Charming Prospect (A Ramu), 1-22.5 From 1200 To 600 In 39.5 Former Finished 5 Lengths Ahead. | (-7) | 1200m | Gate Practice
08 Apr 2026 | BAN | Charming Prospect (A Ramu), Energetic Girl (M Naveen ), 1-11 600/39.5 Former Finished 3 Length Ahead. | (-4) | 1000m | Inner Sand
18 Jul 2026 | BAN | Rosaline (Aleemuddin), Jumeira (Antony Raj ), 1-29 1000 In 1-11 600 In 43 Former 2 Lengths Ahead. | (-1) | 1200m | Outer Sand
07 Jul 2026 | BAN | Jumeira (Antony Raj), Lawrencian (Aleemuddin ), 1-24 1200 To 600 In 42.5 Latter Slow Jump Finished 4 Lengths Behind. | (-6) | 1200m | Gate Practice
30 Jun 2026 | BAN | Lawrencian (Aleemuddin), Jumeira (Antony Raj ), 1-25 1200 To 600 In 42 They Jumped Out Well. | (-5) | 1200m | Gate Practice
23 Jun 2026 | BAN | Lawrencian (Aleemuddin), Jumeira (Antony Raj ), 1-12 600 In 42.5 They Moved Well. | (-3) | 1000m | Outer Sand
16 Jun 2026 | BAN | Lawrencian (Aleemuddin), Jumeira (Antony Raj ), 1-15 600 In 43 They Level. | (Even) | 1000m | outer Sand
19 Jul 2026 | BAN | Oxytooin (Rushal G.A), N R I Victory (Asirvatham), Zakharova (Pavan), Victoria Moon (Anish Hangal), Waves Of Wonder (S.Sachin ), 1-16.19 3 1/2,11 1/2,11 1/4 & 2 1st And 2nd Named Impressed. | (-13) | 1200m | Mock Race
12 Jul 2026 | BAN | Zakharova (Arvind Kumar N), Sapporo (Pavan ), 1-25.5 1000 In 1-11.5, 600 In 44 Former 2 Lengths Ahead. | (-4) | 1200m | Outer Sand
09 Jul 2026 | BAN | Zakharova (Arvind Kumar ) 1-13 600/43 Stretched In The Last Part. | (-2) | 1000m | Outer Sand
09 May 2026 | BAN | Zakharova (Pavan), Zephyrine (Arvind Kumar N), 1-23.5 1000 In 1-10 600 In 42.5 Former 8 Lengths Ahead. | (-6) | 1200m | Outer Sand
05 May 2026 | BAN | Zakharova (Pavan ) 1-30 1000 In 1-15 600 In 45.5 Freely. | (Even) | 1200m | Outer Sand
29 Apr 2026 | BAN | Zakharova (Pavan), Exotic Black (L A Rozario), 1-41.5 1-41.5, 1200/1-27, 1000/1-13.5, 600/45 | (-105) | 1400m | Outer Sand
25 Apr 2026 | BAN | Zephyrine (ArvindKumar), Zakharova (L.A.Rozario ), 1-46.5 1200/1-31 1000/1-16 600/46.5 Pair went easy. | (+1) | 1400M | Outer Sand
18 Apr 2026 | BAN | Senor Cherie (V.Vishwa), Zakharova (Pavan), Beast Royale (A.Ramu), Bellucci (ArvindKumar), Exotic Black (L.A.Rozario), Pursuit Of Wealth (ChetanKalay ), 1-14.65 won by:- 15 1/4, 13/4,23/4,5,81/2. First named impressed. | (-15) | 1200M | Mock Race
14 Apr 2026 | BAN | Zakharova (Pavan), Zephyrine (L A Rozario), 1-25 From 1200 To 600 In 42 Former Finished 2 Lengths Ahead | (-5) | 1200m | Gate Practice
07 Apr 2026 | BAN | Zakharova (Pavan), Night Raider (L.A.Rozario), 1-30.5 From 1200/600 in 47.5 level jump and Former finished 3 length ahead. | (+0) | 1200M | Gate Practice
01 Apr 2026 | BAN | Zakharova (Pavan), Zephyrine (L.A.Rozario ), 1-30.5 1000/1-15 600/44 Former 3 Length ahead. | (+0) | 1200M | Outer Sand
