27 May 2026 | MYS | Thalaivaa (Koshi Kumar), Stormrider (A. Ashhad Asbar), Smile of Beauty (Prabhu Kumar Manji), Excellent Warrior (S. Imran), Royal Chivalry (C. Brisson), Moonlight Queen (P. Siddaraju), Meadow Flower (Shah Alam), Break Away (G.R. Urs), Crazy Love (A. Mhatre ), 1-27.09 1400-600: 47.571 600/39.921 1 length, 1/2, 10 3/4, 2, 2, Long Neck, 6 1/2 & 8 1/2separated them. Remarks: All jumped out well, first three names to note. | (-17) | 1400M | Mock Race
15 May 2026 | MYS | Flash Back (Riding Boy), Crazy Love (A Mhatre ), 1-16.734 43.673, 2.00.407 ¾ Of A Length Separated Them, Remarks: Both Jumped Out Well. | (+16) | 800m | Gate Practice
25 Apr 2026 | MYS | Crazy Love (A. Mhatre), Armament (G.R. Urs ), 55 600/40, Pair Moved Well, Former Finished a Length Ahead | (-5) | 800M | Outer Sand
17 Apr 2026 | MYS | Crazy Love (A Mhatre), Moon Shine (Rb ), 47 Pair Looks Fit. | (+2) | 600m | Outer Sand
25 Jul 2026 | MYS | Mysore Pak (P K Manji ) 1-13 800/56, 600/41, Looks Fit. | (-2) | 1000m | Outer Sand
19 Jul 2026 | MYS | Mysore Pak (RB ) 1-29 1000/1.13, 800/56, 600/40, Looks Fit | (-1) | 1200M | Outer Sand
11 Jul 2026 | MYS | Mysore Pak (P K Manji ) 45 Improving. | (Even) | 600m | Outer Sand
07 Jul 2026 | MYS | Mysore Pak (Bharat Mal ) 43 Looks Fit. | (-2) | 600m | Outer Sand
01 Jul 2026 | MYS | Albinus (Faiz), Iron Clad (A Mhatre), Time For Victory (Ankush), Mysore Pak (M Prabhu Kumar), Marzgovel (Jitendra Singh), Absolute Gold (Vishal Shivhare), Azmanah (Lave Kumar ), 1-26.571/600-337.118/1400-600: 49.166 Distance: Long Neck, 19 ¾ Of A Length, 1 ¾ Of A Length, 1 ¾ Of A Length, 52 ¼ Length & 16 Lengths Separated Them. | (-18) | 1400m | Mock Race
28 Jun 2026 | MYS | Mysore Pak (RB ) 59 600/41, Looks Fit | (-1) | 800M | Outer Sand
19 Jun 2026 | MYS | Saintly Star (Riding Boy), Mysore Pak (Bharat Mal ), 1-27.689 600/41-298 Distance separated them, Both jumped out well, first named (Blk –Off, Hood-On) | (-2) | 1200M | Gate Practice
06 Jun 2026 | MYS | Born Ruler (Rb), Mysore Pak (Rb ), 39 Former Moved Well & Finished 3 Lengths Ahead. | (-6) | 600m | Outer Sand
29 May 2026 | MYS | Born Ruler (Shah Alam), Mysore Pak (P.K. Manji ), 1-26.751 600/44.280 7 lengths separated them, Both jumped out well. | (-3) | 1200M | Gate Practice
13 May 2026 | MYS | Mysore Pak (RB ) 43 Moved Freely | (-2) | 600M | Outer Sand
05 May 2026 | MYS | Mysore Pak (Rb), Tiger Mac (Rb ), 43 Pair Improving, Former Finished 2 Lengths Ahead. | (-2) | 600m | Outer Sand
23 Jul 2026 | MYS | Timoclea (S F Ansari), Arjun (C Brisson ), 1-57.280/600-46.492/1600-600: 1-10.768 Distance: Neck separated them. | (-2) | 1600m | Gate Practice
17 Jul 2026 | MYS | Timoclea (Jitendra Singh), Arjun (S Inayat ), 2-02-80 600-39.063/1600-600: 1-23.545 Distance: 6 Lengths Separated Them. | (+2) | 1600m | Gate Practice
14 Jul 2026 | MYS | Timoclea (Rb), Starlight Whisper (Rb ), 41 Pair Moved Well. | (-4) | 600m | Outer Sand
11 Jul 2026 | MYS | Arjun (Rb), Timoclea (Rb ), 1-00 600/44 Pair Improving. | (Even) | 800m | Outer Sand
09 Jul 2026 | MYS | Timoclea (C. Brisson), Arjun (RB ), 42 Pair Moved Freely | (-3) | 600M | Outer Sand
07 Jul 2026 | MYS | Timoclea (C Brison), Arjun (Rb ), 43 Pair Looks Fit. | (-2) | 600m | Outer Sand
24 Jun 2026 | MYS | Timoclea (Jitendra Singh), Everwin (Rb ), 59 600/45, Pair Improving. | (-1) | 800m | Outer Sand
19 May 2026 | MYS | Element (RB), Timoclea (C. Brisson ), 59 600/42, Pair Looks Fit | (-1) | 800M | Outer Sand
13 May 2026 | MYS | Starlight Whisper (RB), Timoclea (RB ), 45 Pair Improving | (Even) | 600M | Outer Sand
