horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,2,SHINING DAWN,Plumatic(GB),Mea Culpa,,3y,b,g,"Mr Mukul A Sonawala, M/s DT Racing & Breeding LLP & Mr Chetan Shantilal Shah",Darius Byramji,A Sandesh,56,,A,TS,0,,1,The Mauritius Pearl Plate,Maiden / For Horses 3 Years Old Only (No allowance can be claimed),1400 M,02:30 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,"SHINING DAWN Splint Fracture 27-01-26, Infection 23-04-26, Injury 11-05-26 to 12-05-26,  Sore Back 27-05-26, Physiotherapy 27-05-26 to 02-06-26, Laser Therapy 04-06-26
MYSTIC DEW Injury 07-04-26 to 08-04-26, Injury 13-06-26,  Sore Back 23-06-26
ON THE RISE Tendon 12-11-25 to 13-11-25, Injury 10-05-26, Injury 23-05-26, Injury 06-06-26
YARRA YARRA Oedema 02-06-26"
2,1,FORTISSIMA,Be Safe,Striking View,7.,3y,b,f,M/s Arun Alagappan Racing LLP & M/s Sans Craintes Stud Farm (P) Ltd,Irfan Ghatala,Pavan,54.5,,A,TS-BLK,0,,1,The Mauritius Pearl Plate,Maiden / For Horses 3 Years Old Only (No allowance can be claimed),1400 M,02:30 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,"SHINING DAWN Splint Fracture 27-01-26, Infection 23-04-26, Injury 11-05-26 to 12-05-26,  Sore Back 27-05-26, Physiotherapy 27-05-26 to 02-06-26, Laser Therapy 04-06-26
MYSTIC DEW Injury 07-04-26 to 08-04-26, Injury 13-06-26,  Sore Back 23-06-26
ON THE RISE Tendon 12-11-25 to 13-11-25, Injury 10-05-26, Injury 23-05-26, Injury 06-06-26
YARRA YARRA Oedema 02-06-26"
3,6,GARZIAN,Fiero(JPN),Running Glory,2-2.,3y,dkb,f,Mr Rakesh Kumar & Mr B Vijay,V Lokanath,V R Jagadeesh,54.5,,A,,0,30,1,The Mauritius Pearl Plate,Maiden / For Horses 3 Years Old Only (No allowance can be claimed),1400 M,02:30 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,"SHINING DAWN Splint Fracture 27-01-26, Infection 23-04-26, Injury 11-05-26 to 12-05-26,  Sore Back 27-05-26, Physiotherapy 27-05-26 to 02-06-26, Laser Therapy 04-06-26
MYSTIC DEW Injury 07-04-26 to 08-04-26, Injury 13-06-26,  Sore Back 23-06-26
ON THE RISE Tendon 12-11-25 to 13-11-25, Injury 10-05-26, Injury 23-05-26, Injury 06-06-26
YARRA YARRA Oedema 02-06-26"
4,3,MYSTIC DEW,Gusto(GB),Monasada(GB),7.,3y,b,f,Mr S Ganapathy & Mr Daulat Chhabria,Aravind Ganapathy,Neeraj Rawal,54.5,,A,TS,0,,1,The Mauritius Pearl Plate,Maiden / For Horses 3 Years Old Only (No allowance can be claimed),1400 M,02:30 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,"SHINING DAWN Splint Fracture 27-01-26, Infection 23-04-26, Injury 11-05-26 to 12-05-26,  Sore Back 27-05-26, Physiotherapy 27-05-26 to 02-06-26, Laser Therapy 04-06-26
MYSTIC DEW Injury 07-04-26 to 08-04-26, Injury 13-06-26,  Sore Back 23-06-26
ON THE RISE Tendon 12-11-25 to 13-11-25, Injury 10-05-26, Injury 23-05-26, Injury 06-06-26
YARRA YARRA Oedema 02-06-26"
5,5,ON THE RISE,Saamidd(GB),Star Ranking,3-5.,3y,dkb,f,"Mrs V Kaviya,  Mr Dhruv Kumar Futnani & Mr Mohd Javeed Ghatala",Irfan Ghatala,N Arvind Kumar,54.5,,A,TS-CNB,0,27,1,The Mauritius Pearl Plate,Maiden / For Horses 3 Years Old Only (No allowance can be claimed),1400 M,02:30 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,"SHINING DAWN Splint Fracture 27-01-26, Infection 23-04-26, Injury 11-05-26 to 12-05-26,  Sore Back 27-05-26, Physiotherapy 27-05-26 to 02-06-26, Laser Therapy 04-06-26
MYSTIC DEW Injury 07-04-26 to 08-04-26, Injury 13-06-26,  Sore Back 23-06-26
ON THE RISE Tendon 12-11-25 to 13-11-25, Injury 10-05-26, Injury 23-05-26, Injury 06-06-26
YARRA YARRA Oedema 02-06-26"
6,4,YARRA YARRA,Win Legend(JPN),Stimulate,5.,3y,b,f,Mr & Mrs Dilip Thomas rep. The Rajagiri Rubber & Produce Company Limited & Mr Tegbir Singh Brar rep. Sarainaga Racing Pvt Ltd,Arjun Mangalorkar,Antony Raj S,54.5,,A,TS-CNB,0,,1,The Mauritius Pearl Plate,Maiden / For Horses 3 Years Old Only (No allowance can be claimed),1400 M,02:30 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,"SHINING DAWN Splint Fracture 27-01-26, Infection 23-04-26, Injury 11-05-26 to 12-05-26,  Sore Back 27-05-26, Physiotherapy 27-05-26 to 02-06-26, Laser Therapy 04-06-26
MYSTIC DEW Injury 07-04-26 to 08-04-26, Injury 13-06-26,  Sore Back 23-06-26
ON THE RISE Tendon 12-11-25 to 13-11-25, Injury 10-05-26, Injury 23-05-26, Injury 06-06-26
YARRA YARRA Oedema 02-06-26"
