horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,7,BLACK DUST,Air Support(USA),Angel Dust,5-2-2-3-1.,5y,dkb,g,"Mr Rama Seshu Eyunni, Mr Harinath Reddy Teegala, Mr K S V Prasad Raju, Mr Teegala Sumant Reddy, Dr Teegala Vijender Reddy",K S V Prasad Raju,P Sai Kumar,60.5,,S,TS-BLK,57,65,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
2,5,GLORIOUS POWER,Shifting Power(GB),Glorious Hymn,2-4-1-2-9.,5y,ch,m,The Estate of Late Mr L D Silva & Mr Vazhaparmbil John Joseph,N Rawal,Neeraj Rawal,60.5,,A,,67,65,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
3,15,TORCHBEARER,Chinese Whisper(IRE),Evelyn May(IRE),2-9-6-7-12.,5y,b,g,Col. S B Nair,L V R Deshmukh,P Ajeeth Kumar,59.5,,A,TS,65,63,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
4,2,GOLDEN GAZELLE,Authorized(IRE),Deauville Diva(IRE),9-6-8-11-12.,6y,b,m,Mr Ashok Kumar Gupta & Mr M Srinivas Reddy,M Srinivas Reddy,Akshay Kumar,59,,A,TS,66,62,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
5,13,CHINA TOWN,Chinese Whisper(IRE),Fury,3-4-4-4-5.,7y,b,g,Dr Suresh Chintameneni,Ananta Vatsalya,Kuldeep Singh,58.5,,A,TS-XNB,65,61,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
6,1,ARMSTRONG,Air Support(USA),Stromboli,4-3-7-8-3.,7y,b,g,Mr Ashok Kumar Gupta & The Estate of Late Mr Rajesh Sanghani,A Imran Khan,A A Vikrant,57.5,,A,TS,60,59,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
7,9,CLARA,Planetaire(GB),Atmosphere,3-2-13-6-8.,5y,b,m,Mr N V Rohin Kumar,S Sreekant,Kuldeep Singh (jr),57.5,-2.5,A,TS,63,59,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
8,14,WOLF CREEK,Sir Cecil,Oakdale,5-3-5-1-1.,6y,ch,g,"Mr Imran Isa Sayyed, Mr S Saleem Shah & The Estate of Late Mr L D`Silva",R H Sequeira,A Ashhad Asbar,56.5,,A,TS-BLK-XNB,49,57,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
9,12,CORINTHIAN,Western Aristocrat(USA),Well Focused(IRE),6-7-2-4-1.,5y,dkb,g,Mr C Aryama Sundaram,D Netto,P Trevor,55.5,,A,TS,47,55,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
10,10,N R I RANGE,Smuggler's Cove(IRE),Constantinople,3-3-1-1-7.,5y,b,g,Mr Ravinder Reddy Male,M Srinivas Reddy,G Naresh,55,,A,TS-XNB-BB,56,54,7,The Colonel B Santosh Babu Memorial Trophy,"Class 3 / A Handicap For Horses Rated 40 To 65, 5 Year Olds And Upward (Cat-2)",1400 M,04:30 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
