horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,8,SHAMROCK,Excellent Art(GB),Nora,1-5-1-1-5.,7y,b,h,"Mr M Ravi, Mr Daulat Chhabria, Mr K Kaliyaperumal & Mrs R Chellam",Satish Narredu,Suraj Narredu,60,,A,,121,118,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
2,5,MAYNE MAGIC,Moonlight Magic(GB),Pure Elation,1-1-2-2-2.,5y,dkb,g,Mr Eugene Aloysious Mayne &  Mrs Joan Mayne,Kishan Thomas,Antony Raj S,57,,A,TS-CNB,112,116,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
3,6,ALFONSINE,Dreamfield(GB),Aika Aika Aika,2-1-1-1-3.,4y,ch,g,Mr P Arun Kumar,S John,Yash Narredu,56,,A,TS- CNB,112,112,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
4,2,NONPARIEL,Dali(USA),Bravia(GB),1-1-1-2-6.,5y,dkb,g,"Mr Rajendran rep. Rapar's Galloping Stars LLP, Dr Tripuranenivenkata Aditya Chowdary & Mr P Ranga Raju",D Netto,K Mukesh Kumar,55,,A,TS,0,110,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
5,4,ONCE YOU GO BLACK,Win Legend(JPN),Aksinya,1-5-2-2-3.,7y,dkb,h,"Mr Shiven Surendranath rep. Diamond Band Racing Syndicate Pvt Ltd, Mr Kersi H Vachha & Mr Tegbir Singh Brar rep. Sarainaga Racing Pvt Ltd",James Mckeown,P Trevor,55,,A,CNB-BB,114,109,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
6,1,GALAHAD,Sir Cecil,Vadarousse(GER),8-1-5-5-4.,6y,gr,g,"Mr Tegbir S Brar rep. Sarainaga Racing Pvt Ltd, Mr D R Thacker rep. DT Racing & Breeding LLP, Mr Mukul A Sonawala, Mr S R Sanas & Mr Inderraj Anand",S S Attaollahi,Akshay Kumar,54,,A,TS-CNB,109,107,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
7,7,PROMISEOFTHEFUTURE,Speaking Of Which(IRE),Arlene,1-4-3-2-1.,5y,ch,g,Miss Ameeta Mehra,Irfan Ghatala,Neeraj Rawal,54,,A,TS-CNB,80,92,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
8,3,XANTHE,Deauville(IRE),Sheryl,1-1-1-1-2.,4y,b,f,Mr C Aryama Sundaram,S S Attaollahi,Hindu Singh,52,,A,TS-CNB,90,92,5,The Karnataka Mile Championship Cup,For Horses / 4 Years Old and Over,1600 M,04:00 PM,Winner:₹.1288800 Second:₹.429600 Third:₹.214800 Fourth:₹.107400 Fifth:₹.64440 Sixth:₹.42960 Total:₹.2148000,
