12 Jul 2026 | MYS | Marzgovel (Rb ) 42 Improving. | (-3) | 600m | Outer Sand
09 Jul 2026 | MYS | Marzgovel (RB ) 1-14 800/57, 600/40, Looks Fit | (-1) | 1000M | Outer Sand
01 Jul 2026 | MYS | Albinus (Faiz), Iron Clad (A Mhatre), Time For Victory (Ankush), Mysore Pak (M Prabhu Kumar), Marzgovel (Jitendra Singh), Absolute Gold (Vishal Shivhare), Azmanah (Lave Kumar ), 1-26.571/600-337.118/1400-600: 49.166 Distance: Long Neck, 19 ¾ Of A Length, 1 ¾ Of A Length, 1 ¾ Of A Length, 52 ¼ Length & 16 Lengths Separated Them. | (-18) | 1400m | Mock Race
28 Jun 2026 | MYS | Marzgovel (RB ) 1-08 800/52, 600/38, Looks Fit | (-7) | 1000M | Outer Sand
07 Jun 2026 | MYS | Marzgovel (Rb ) 1-29 1000/1-13, 800/58, 600/43, Fit & Fine. | (-1) | 1200m | Outer Sand
01 Jun 2026 | MYS | Marzgovel (Rb ) 1-00 600/43, Slightly Extended. | (Even) | 800m | Outer Sand
17 May 2026 | MYS | Marzgovel (Rb ) 44 Easy. | (-1) | 600m | Outer Sand
10 May 2026 | MYS | Marzgovel (Rb ) 57 600/38, Slightly Extended. | (-3) | 800m | Outer Sand
04 May 2026 | MYS | Marzgovel (RB ) 59 600/42, Looks Fit | (-1) | 800M | Outer Sand
25 Apr 2026 | MYS | Marzgovel (RB ) 1-00 600/41, Looks Fit | (Even) | 800M | Outer Sand
28 Jun 2026 | MYS | O Manchali (RB ) 1-13 800/55, 600/39, Worked Well | (-2) | 1000M | Outer Sand
06 Jun 2026 | MYS | O Manchali (Rb ) 1-12 800/54, 600/38, Worked Well. | (-3) | 1000m | Outer Sand
01 Jun 2026 | MYS | O Manchali (Rb ) 58 600/41, Looks Fit. | (-2) | 800m | Outer Sand
23 May 2026 | MYS | O Manchali (Rb ) 58 600/39, Moved Well. | (-2) | 800m | Outer Sand
07 May 2026 | MYS | O Manchali (Rb ) 43 Looks Fit. | (-2) | 600m | Outer Sand
25 Apr 2026 | MYS | O Manchali (RB), Moonlight Speed (RB ), 41 Pair Fit & Fine | (-4) | 600M | Outer Sand
21 Apr 2026 | MYS | O Manchali (RB ) 45 Improving | (Even) | 600M | Outer Sand
25 Jul 2026 | MYS | Truth In Wine (Darshan Antony ) 1-27 1000/1-09, 800/53, 600/39, Moved Well. | (-3) | 1200m | Outer Sand
18 Jul 2026 | MYS | Truth In Wine (Darshan Antony ) 1-06 800/52, 600/38, Moved Well. | (-9) | 1000m | Outer Sand
15 Jul 2026 | MYS | Truth In Wine (Rb ) 45 Fit & Fine. | (Even) | 600m | Outer Sand
27 Jun 2026 | MYS | Truth In Wine (Darshan Antony ) 1-23 1000/1.07, 800/53, 600/39 Ignore Last Run. | (-7) | 1200m | Outer Sand
20 May 2026 | MYS | Truth in Wine (RB ) 1-08 800/53, 600/40, Slightly Extended | (-7) | 1000M | Outer Sand
14 May 2026 | MYS | Truth In Wine (RB ) 1-12 800/56, 600/40, Un-Extended | (-3) | 1000M | Outer Sand
08 May 2026 | MYS | Truth In Wine (Rb ) 1-10 800/55, 600/40, Shaped Well. | (-5) | 1000m | Outer Sand
02 May 2026 | MYS | Truth in Wine (RB ) 39 Moved Well | (-6) | 600M | Outer Sand
26 Jul 2026 | MYS | Hasting Sunrise (R. Shiv Kumar), (), 43 Looks Fit | (-2) | 600M | Outer sand Track Work
23 Jul 2026 | MYS | Hasting Sunrise (Rb ) 59 600/43, Moved Freely. | (-1) | 800m | Outer Sand
11 Jul 2026 | MYS | Hasting Sunrise (R Shiv Kumar ) 38 Moved Well. | (-7) | 600m | Outer Sand
27 Jun 2026 | MYS | Hasting Sunrise (R Shiv Kumar ) 53 600/38 Moved Impressively. | (-7) | 800m | Outer Sand
07 Jun 2026 | MYS | Hasting Sunrise (R Shiv Kumar ) 1-13 800/56, 600/39, Looks Fit. | (-2) | 1000m | Outer Sand
26 Jul 2026 | MYS | Empire of Dreams (S. Mubarak), (), 38 Worked Well | (-7) | 600M | Outer sand Track Work
19 Jul 2026 | MYS | Empire of Dreams (RB ) 53 600/37 Moved Impressively | (-7) | 800M | Outer Sand
05 Jul 2026 | MYS | Empire Of Dreams (Rb ) 53 600/39 Moved Well. | (-7) | 800m | Outer Sand
21 Jun 2026 | MYS | Empire of Dreams (RB ) 1-09 800/52, 600/38, Worked Well | (-6) | 1000M | Outer Sand
14 Jun 2026 | MYS | Empire Of Dreams (Ramandep S Bal ) 56 600/40, Looks Fit. | (-4) | 800m | Outer Sand
07 Jun 2026 | MYS | Empire Of Dreams (Afsar Khan ) 1-11 800/55, 600/39, Slightly Extended. | (-4) | 1000m | Outer Sand
04 Jun 2026 | MYS | Empire Of Dreams (Ramandeep S Bal ) 45 Fit & Fine. | (Even) | 600m | Outer Sand
01 Jun 2026 | MYS | Empire Of Dreams (Rb ) 45 Easy. | (Even) | 600m | Outer Sand
26 May 2026 | MYS | Empire of Dreams (Ramandeep.S. Bal ) 45 Improving | (Even) | 600M | Outer Sand
18 Jul 2026 | MYS | Annalisa (Ayaz Khan ) 59 600/43, Moved Freely. | (-1) | 800m | Outer Sand
17 Jul 2026 | MYS | Annalisa (Ayaz Khan ) 45 Fit & Fine. | (Even) | 600m | Outer Sand
08 Jul 2026 | MYS | Andorra (Jitendra Singh), Annalisa (A. Mhatre), Natural Light (Vishal), Enrica (Faiz), Basic Instinct (Ankush), Major Saab (Prabhu Kumar), Sapient (Ritesh Gochhi), David’s Delight (Lave Kumar), Royal Chivalry (Vishwa V), Eiffel Tower (Asirvatham ), 1-28.18 1400-600: 48.73, 600-39.19 Head, 3 ½ lengths, 2 ½ lengths, Long Neck, ½ a length, 1 ½ length, ½ a length, 8 ¾ of a length & 10 lengths separated them. Remarks: All jumped out well, first, second, fifth & sixth names to note. | (-16) | 1400m | Mock Race
21 Jun 2026 | MYS | Annalisa (Ayaz Khan ) 56 600/40, Un-Extended | (-4) | 800M | Outer Sand
13 Jun 2026 | MYS | Annalisa (N.B. Kuldeep ) 40 Slightly Extended | (-5) | 600M | Outer Sand
06 Jun 2026 | MYS | Annalisa (Rb ) 41 Looks Fit. | (-4) | 600m | Outer Sand
21 May 2026 | MYS | Annalisa (S Mubarak ) 43 Looks Fit. | (-2) | 600m | Outer Sand
09 May 2026 | MYS | Annalisa (S Mubarak ) 1-12 800/56, 600/40, Un-Extended. | (-3) | 1000m | Outer Sand
08 May 2026 | MYS | Annalisa (S Mubarak ) 45 Improving. | (Even) | 600m | Outer Sand
29 Apr 2026 | MYS | Annalisa (S Mubarak ) 58 600/43 Improving. | (-2) | 800m | Outer Sand
