horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,5,PILOT OFFICER,Sporting Chance(GB),Scenic Park,3-1-3.,3y,b,c,"Mr S Shanker Narayanan, Mr Kalpesh P Patel, Dr Suresh Bhat, Mrs Barkha D Lahori, Mr M Venugopala Reddy, Dr Mohd Javeed Ghatala, Mr K Parthasarathy & Mr S Ganapathy",Saddam Iqbal,C A Brisson,57,,A,,41,41,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
2,3,GIVE A SPIN,Crimson China(USA),Eesha's Smile(IRE),,3y,b,c,Col. Kuldeep Singh Garcha,Ranjeet Shinde,Anil Bandal,53,,A,,0,0,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
3,2,THE KILLER,Crimson China(USA),Charming Beauty,3-5.,3y,b,g,Col. Kuldeep Singh Garcha,Ranjeet Shinde,A Ashhad Asbar,53,,A,TS,0,30,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
4,6,AZKABAN,Perfect Stride(GB),Turkana(GB),,3y,b,f,Mr N Krishnamurthy,V Arvind,Vinod Shinde,51.5,,A,BLK-HD-RB-TS,0,0,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
5,7,CRAZY LOVE,Crimson China(USA),Defence Girl(USA),,3y,b,f,Col.Kuldeep Singh Garcha,Ranjeet Shinde,Abhishek Mhatre,51.5,,A,TS,0,0,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
6,1,MYSORE PAK,Air Support(USA),Stromboli,,3y,b,f,Mr Mohan Thakur,M Bobby,K Sai Kiran,51.5,,A,,0,0,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
7,4,TIMOCLEA,Plumatic(GB),Sheryl,,3y,b,f,Dr Ameeta Mehra,J Sebastian,S F Ansari,51.5,,A,TS,0,0,1,The Kanchanganga Plate,For Horses / 3 Years Old Only (No allowance can be claimed),1400 M,01:30 PM,Winner:₹.525000 Second:₹.262505 Third:₹.131250 Total:₹.918755,
