horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,2,FIGHTON,U S Navy Flag(USA),Starletina(IRE),2-3-2-6-2.,6y,b,g,Mr Prashant Nagar rep. SKJ Thoroughbreds Pvt Ltd,M K Jadhav,P P Dhebe,61.5,,,A,,TS-CNB,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
2,1,SCARAMOUCHE,Roderic O'connor(IRE),Isn't She Special,2-1-4-2-1.,5y,b,g,Mr Jaydev M Mody rep. J M Livestock Pvt Ltd,Behram Cama,T S Jodha,60,,,A,,TS,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
3,3,ENCINO,Gusto(GB),Choice House(USA),1-3-5-1-1.,4y,dkb,g,"Mr Gautam Lala rep. Gainsville Stud & Agl Farm Pvt Ltd, Mr Kishore P Rungta, Mr S R Sanas & Mr Ajay K Arora",Adhiraj S Jodha,A Sandesh,57,,,A,,TS-HOOD,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
4,4,SON OF A GUN,Top Class(USA),Indian Serenade,6-6-7-7-6.,7y,b,h,"Mr Arif A Peerbhoy, Mr Kersi H Vachha, Mr Sunil S Majithia, Mr Mustafa M Pardiwala & Mr Ajay K Arora",Narendra Lagad,Avinash Paswan,55,-5,,A,,TS-BLK,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
5,6,CELLINI,Arazan(IRE),Yomalo(IRE),5-8-4-3-5.,10y,b,g,"Mrs Bakhtawar B Chenoy, Mr D R Thacker rep. DT Racing & Breeders LLP & Mr J H Damania",Bezan Chenoy,Omkar Akhade,54.5,-5,,A,,TS,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
6,5,BEE MAGICAL,Moonlight Magic(GB),Bee Quick,6-3-6-2-6.,4y,b,f,Mr S M Ruia rep. Equus Racing (PF) & Mr Mukul Sonawala,Imtiaz A Sait,Neeraj Rawal,50,,,A,,,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
7,7,BISHOP,Deauville(IRE),Winds Of Fortune,7-4-2-1-5.,4y,b,f,Mrs Liane Luthria,P Shroff,S Siddharth,49,-5,,A,,TS,2,The Atomic Prince Plate,Class 2 / Horses Rated 60 to 86 (40 to 59 Eligible),1200 M,01:30 PM,Winner:₹.352500 Second:₹.187500 Third:₹.150000 Fourth:₹.37500 Fifth:₹.22500 Total:₹.750000,"SON OF A GUN - INTRA ARTICULAR INJECTION 27/06/2026, HOBDAY22/04/2024, TIEBACK   22/04/2024 & 16/04/2025, BACK SURGERY  29/04/2025
CELLINI - LAG SCREW FIXATION 29/01/2020"
