horse,date,swim_count
AZKABAN,14/07/2026,1
AZKABAN,16/07/2026,1
AZKABAN,17/07/2026,1
AZKABAN,20/07/2026,1
AZKABAN,21/07/2026,1
AZKABAN,22/07/2026,1
AZKABAN,25/07/2026,1
CRAZY LOVE,22/07/2026,1
GIVE A SPIN,17/07/2026,1
GIVE A SPIN,20/07/2026,1
GIVE A SPIN,23/07/2026,1
GIVE A SPIN,25/07/2026,2
MYSORE PAK,17/07/2026,1
THE KILLER,14/07/2026,1
THE KILLER,16/07/2026,1
THE KILLER,20/07/2026,1
THE KILLER,22/07/2026,1
THE KILLER,23/07/2026,1
THE KILLER,24/07/2026,1
THE KILLER,25/07/2026,1
TIMOCLEA,14/07/2026,1
TIMOCLEA,16/07/2026,1
TIMOCLEA,18/07/2026,1
TIMOCLEA,20/07/2026,1
TIMOCLEA,21/07/2026,1
TIMOCLEA,22/07/2026,1
TIMOCLEA,23/07/2026,1
TIMOCLEA,25/07/2026,1
