horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,5,DUBAI TOUCH,Perfect Stride(GB),Light Dubai(IRE),1-1-4-4-6.,4y,dkb,f,"Mr N Shyam Sunder, Mr Anil Viswanatha Poduval & Mr Vara Prasad Reddy",N Rawal,Neeraj Rawal,61.5,,A,,65,63,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
2,9,KALKI,Speaking Of Which(IRE),Daffodil,2-2-4-13-8.,5y,ch,g,Mr S A Shehzad Abbas,Raza Shehzad,Surya Prakash,60,,S,TS-XNB,62,60,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
3,2,GREIF,Sanus Per Aquam(IRE),Songlark,1-1-3-1.,4y,b,f,Mr S Prasad Raju & Mr Mukund Kakani,K S V Prasad Raju,P Sai Kumar,57.5,,A,TS,49,55,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
4,8,ARION ONE,Leitir Mor(IRE),Stravella(IRE),4-8-4-3-2.,5y,b,m,"Mr Imran Isa Sayyed, Mr Ashok Kumar Gupta, Mr Rafaat Hussain & Mr Vishal Gupta",R H Sequeira,B R Kumar,56,,A,TS-HOOD,51,52,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
5,4,ARTHISHA,Basem(GB),Almarada,1-3-1-2-1.,6y,dkb,m,Mr Prashant Datta Kankonkar,Magan Singh,B Nikhil,55.5,,A,,45,51,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
6,7,TURIYA,Top Class(USA),Kabini,1-6-2-1-4.,4y,dkb,f,Mr Shantanu Sharma,Bharath Singh,P Trevor,55.5,,A,TS-BLK,53,51,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
7,6,DASHING CHARM,French Navy(GB),Paprika,7-1-11-6-7.,4y,b,f,"Mr Champaklal Zaveri & Mrs Bindu C Zaveri rep. Zaveri Stud Farm Pvt Ltd, Miss Harsha N Desai & Miss Niti N Desai",L V R Deshmukh,Akshay Kumar,54.5,,A,TS,51,49,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
8,1,FIRST LADY,Top Class(USA),Pompeii,1-1-4-3-14.,5y,b,m,"Mr G Krishnamohan Rao, Dr Prabhakar Chowdary Tripuraneni & Dr Tripuranenivenkata Aditya Chowdary",D Netto,Shivam,52,,A,BLK,46,44,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
9,3,SWEET DANCER,Roderic O'connor(IRE),Avec Pleasure,2-3-14-12-7.,7y,b,m,Dr Suresh Chintameneni,Ananta Vatsalya,P Ajeeth Kumar,51.5,,A,TS-XNB,47,43,3,The Firecrest Plate Div-2,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,02:10 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
