horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,12,BOLD SHOW,Win Legend(JPN),Bold Reply,9-1-5-2-2.,5y,b,h,Dr Muthiah Ramaswamy rep. GMMSR Advisory Services LLP,R Ramanathan,Abhishek Mhatre,61.5,-2.5,A,TS-BLK,41,43,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
2,2,EXCELLENT STAR,Excellent Art(GB),Sweeping Star,10-7-11-9-11.,8y,b,g,Mr R Dharmendra Kumar,P Krishna,Vivek,61.5,,A,TS-BLK-CNB,43,43,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
3,9,REIGN OF TERROR,Phoenix Tower(USA),Waveafterwave,6-4-3-9-12.,8y,b,g,Mr K S Mandanna & Mr M Raghunath,K S Mandanna,Pavan,61.5,-2.5,A,TS-CNB,43,43,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
4,7,TIME FOR VICTORY,Top Class(USA),Isle Of Avalon,4-10-4-6-10.,7y,b,g,Mr Kondaiah,K Somashekar,M Rajesh Kumar,61.5,,A,TS-BB,45,43,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
5,5,HABIBTI,Win Legend(JPN),Abs Fabs,7-1-4-5-2.,5y,b,m,Mr K Kamesh,H Zulquarnain,A Ashhad Asbar,60.5,,A,TS-CNB,39,41,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
6,11,ROYAL CHIVALRY,Chinese Whisper(IRE),Repique,5-5-4-3-7.,5y,b,g,Mr M Bobby,M Bobby,Bharat Mal,60.5,,A,TS-VI,43,41,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
7,6,GOLDEN BIRD,Saamidd(GB),Shivalik Bird,4-1-6-10-6.,6y,b,m,Mr Benhur Bhastekar & Mr Sunil Santhosh Serrao,R Helleal Moses,M S Deora,60,,A,TS-CNB,42,40,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
8,3,CLOUD JUMPER,West Virginia(USA),Shanghai Gal,8-6-8-12-8.,8y,b,r,Mr Rajendran rep. Rapar's Galloping Stars LLP,Suraj Shaw,S Imran,59,,A,,40,38,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
9,8,SUPER STRIDE,Speaking Of Which(IRE),Set Aside,4-8-2-3-11.,6y,b,g,Mr Dhruv Kumar Futnani,Fahad Khan,H Rahul,59,,A,TS-HD,38,38,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
10,4,BLUE ORIGIN,Roderic O'connor(IRE),Messalina,6-7-2-6-5.,8y,ch,g,Mr Ranjeet Shinde,Ranjeet Shinde,M J Gautam Rajurs,58.5,,A,TS,45,37,4,The Ashwajaya Plate Div-1,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,03:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
