horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,7,NATURAL ONE,Abbeyside(GB),Auburn Beauty,3-2-3-1-2.,9y,b,h,Mr Raja Malhotra,Mansoor Khan,Ankit Pal,62,,A,TS-CNB,42,44,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
2,3,STAR OF LIGHT,French Navy(GB),Night Of Stars,5-10-8-1-3.,4y,b,g,Mr Husain Sultanali Nensey & Mr Nissa Hoosein Nensey,J Sebastian,S F Ansari,61,,A,TS-BLK,41,42,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
3,10,AMAZING ARISE,Speaking Of Which(IRE),Amelia,9-4-11-7-6.,7y,b,g,Dr Mohammed Imran & Mr A P Venkatesan,Mansoor Khan,Shamaz Shareef,60,,A,TS,42,40,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
4,6,SHEER ELEGANCE,Air Support(USA),Sheer Class,3-2-10-4-4.,7y,b,m,Dr M A M R Muthiah rep. GMMSR Advisory Services LLP,R Ramanathan,Abhishek Mhatre,59,-2.5,A,TS-CNB,38,38,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
5,4,ALPHA DOMINO,Ampere(FR),Ajaweed(IRE),2-4-5-8-7.,7y,b,g,Dr Asha Bhat & Dr Suresh Bhat,Saddam Iqbal,Jitendra Singh,57.5,-5,A,TS-BLK,37,35,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
6,1,GAJABO GRANDE,Perfect Stride(GB),Heliconia,8-4-7-12-6.,6y,dkb,h,Mr S D Aravindh,Mansoor Khan,K Rajesh,55.5,,A,TS,39,31,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
7,2,HIGHER LOVE,Planetaire(GB),Adele,10-6-9-3-1.,5y,dkb,g,Mr Gautam Chavan & Mr R Sushantha,Dhyan Subbaiah,H Rahul,55.5,,A,TS-CNB,23,31,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
8,5,SAIGON,Speaking Of Which(IRE),Scarborough Fair,6-8-4-10-10.,6y,b,g,Mr Deepak Kumar,J S Pillay,Vinod Shinde,55.5,,A,TS-BLK,33,31,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
9,9,THEOS,Roderic O'connor(IRE),My Lakshmi,6-3-5.,3y,b,c,Mr C Aryama Sundaram,S S Attaollahi,P Trevor,55,,A,TS,30,30,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
10,8,ROYAL FALCON,David Livingston(IRE),Allys Glory,11-10-8-7-7.,7y,ch,m,Mrs Tanu Yadav,Himanshu,K Sai Kiran,53,,A,TS,28,26,5,The M R C Charitable Trust Trophy,Class 4 / Horses Rated 20 to 45,2000 M,03:30 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
