horse,date,swim_count
DIAMOND AND PEARLS,14/07/2026,1
NATURAL TORNADO,14/07/2026,1
NATURAL TORNADO,17/07/2026,1
NATURAL TORNADO,18/07/2026,1
NATURAL TORNADO,20/07/2026,1
NATURAL TORNADO,21/07/2026,1
NATURAL TORNADO,22/07/2026,1
SILVER QUEST,23/07/2026,1
TAQDEER,14/07/2026,1
TAQDEER,21/07/2026,2
TAQDEER,23/07/2026,1
TAQDEER,24/07/2026,3
