22 Jun 2026 | BAN | Routing Run (J H Arul), Ashwa Balwan (Darshan R N), Qualify (M Prabhakaran ), 1-14 600 In 43 3 & 5 Lengths Seperated Them. | (-1) | 1000m | Outer Grass
18 Jul 2026 | BAN | Mandate (Aleemuddin), Sindoor (Antony Raj ), 1-40 1200 In 1-26.5 1000 In 1-12.5 600 In 44 Former 2 Lengths Ahead. | (-5) | 1400m | Outer Sand
11 Jul 2026 | BAN | Sindoor (Antony Raj ) 1-44 1200 In 1-29, 1000 In 1-15, 600 In 45 Stretched. | (-1) | 1400m | Outer Sand
22 Jun 2026 | BAN | Sindoor (Antony Raj ) 1-26.5 1000 In 1-12.5 600 In 43.5 Moved Well. | (-3) | 1200m | Outer Sand
16 Jun 2026 | BAN | Sigrid (Antony Raj), Sindoor (Aleemuddin ), 1-22.5 1200 To 600 In 41.5 Level Jump And Former Finished 3 Lengths Ahead. | (-7) | 1200m | Gate Practice
01 Jun 2026 | BAN | Savanna Storm (Antony Raj), Sindoor (Aleemuddin ), 1-12 600 In 43 They Worked Well. | (-3) | 1000m | Outer Sand
26 May 2026 | BAN | Sindoor (Antony Raj ) 1-13 600 In 43.5 Pushed In The Last Part. | (-2) | 1000m | Outer Sand
20 May 2026 | BAN | Sindoor (Antony Raj ) 1-13 600 In 44 Extended. | (-2) | 1000m | Outer Sand
12 May 2026 | BAN | Sindoor (Antony Raj), Excellence (Saddam H ), 1-23 1200 To, 600 In 39 They Jumped Out Well. | (-7) | 1200m | Gate Practice
05 May 2026 | BAN | Sindoor (Aleemuddin ) 1-28.5 1200 To 600 In 45 Good Jump. | (-1) | 1200m | Gate Practice
25 Apr 2026 | BAN | Sindoor (Antony Raj), Estelle (Aleemuddin ), 1-13 600/43.5 They moved together. | (-2) | 1000M | Outer Sand
18 Apr 2026 | BAN | Never Give In (Antony Raj), Sindoor (Aleemuddin), 1-13 600/43 They moved well. | (-2) | 1000M | Outer Sand
11 Apr 2026 | BAN | Estelle (Antony Raj), Sindoor (Aleemuddin ), 1-16 600/44.5 They level. | (+1) | 1000M | Outer Sand
15 Jul 2026 | BAN | Spark Of Life (S.Sachin ) 43. Stretched. | (-2) | 600m | Outer Sand
01 Jul 2026 | BAN | Spark Of Life (S.Sachin ) 1-13 600 In 43.5 Stretched. | (-2) | 1000m | Outer Sand
28 Jun 2026 | BAN | Heimirich (Rb), Spark Of Life (Rb ), 1-14 600 In 46 Former 3 Lengths Ahead. | (-1) | 1000m | Outer Sand
12 May 2026 | BAN | Lena (S.Hinayathulla), Spark Of Life (S.Sachin), Friedrich (Akshay Kumar ), 1-22.5 1200 To, 600 In 42.5 All Level Jump 8 & 6 Lengths Seperated Them. | (-7) | 1200m | Gate Practice
05 May 2026 | BAN | Friedrich (Rb), Spark Of Life (Ashhad Asbar ), 1-30 1200 To 600 In 45.5 They Jumped Out Well. | (Even) | 1200m | Gate Practice
