horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,4,GOLD KITE,Surfrider(IRE),Gold Bag,2-1-4-1-3.,7y,b,m,Mr Kunal Natwarlal Sharma,K Aditya,Mohd Talib,65.5,-5,A,TS,90,91,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
2,6,VANDHIYATHEVAN,Kingda Ka(AUS),Siyouni,2-7-1-1-8.,5y,gr,h,Mr K S Mandanna & M/s Ajaad Stud & Livestock (OPC)Pvt Ltd,K S Mandanna,Jitendra Singh,63.5,-5,A,,87,87,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
3,1,CONSTANT VARIABLE,Sedgefield(USA),Tatbeeq(IRE),4-7-4-6-6.,8y,b,g,Mr P Arvinth & Mr Dhruv Kumar Futnani,Fahad Khan,C Umesh,60,,A,TS-CNB-DRB,80,80,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
4,8,COEUR DE LION,Roderic O'connor(IRE),Sweeping Star,9-10-3-7-11.,7y,b,g,Mr Gaurav Saini & Mr Hanumant S Telange,Feroz M Khan,Faiz,58.5,-2.5,A,TS-CNB,77,77,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
5,11,GOLD RIDE,Win Legend(JPN),Flying Show,3-2-2-1-3.,5y,b,m,Dr M A M R Muthiah rep. GMMSR Advisory Services LLP & Mr Chaduranga Kanthraj Urs,R Ramanathan,Antony Raj S,58,,A,TS,76,76,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
6,5,SINGER SARGENT,Kingda Ka(AUS),Proserpine,7-3-6-2-8.,7y,b,g,Mr N Pradeep Kumar,V Arvind,S Imran,58,,A,BLK,0,76,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
7,10,OPUS ONE,Pinson(IRE),Bourbon Queen,2-5-8-4-1.,7y,gr,g,Mr Rajendran rep. Rapar's Galloping Stars LLP,Suraj Shaw,N Arvind Kumar,57.5,,A,TS-BLK-CNB,65,75,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
8,7,MIND GAMES,Crimson China(USA),Divine Quest,10-2-8-1-2.,4y,b,g,Col. Kuldeep Singh Garcha,Ranjeet Shinde,Abhishek Mhatre,53.5,-2.5,A,TS,64,67,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
9,,SMILES OF FORTUNE,Planetaire(GB),Wonder Smile,4-3-4-5-8.,6y,b,g,Mr Vishal Yadav,Vishal Yadav,Withdrawn,53.5,,,TS-HD,69,67,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
10,2,BLUEMED,Multitude,Long Beach,4-4-1-3-6.,5y,dkb,g,Dr Ganesan Subramanian,J Sebastian,S F Ansari,52,,A,TS-BLK,64,64,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
11,3,WINTER AGENDA,Win Legend(JPN),Integra,7-3-2-8-10.,6y,b,g,Mrs Preeti C Shah & Mr K M Shah,Vinesh V Naik,Akshay Kumar,51,,A,TS-CNB,64,62,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
12,9,KINGS WALK,Chinese Whisper(IRE),Bee The Star,7-4-7-7-10.,7y,b,h,Mr Prakash K Srivastava & Mr M Bobby,M Bobby,K Sai Kiran,50.5,,A,TS,63,61,7,The Paschimavahini Plate,Class 1 / Horses Rated 60 and Above,1200 M,04:30 PM,Winner:₹.350000 Second:₹.175000 Third:₹.87505 Fourth:₹.43750 Fifth:₹.26250 Sixth:₹.17495 Total:₹.700000,
