horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,7,ATMAN,Gusto(GB),Turaco,4-4-3-4.,3y,b,g,Mr Rajendran rep. Rapar's Galloping Stars LLP,Prasanna Kumar,P Trevor,56.0,,,,,TS,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
2,2,AUSPICIOUS KING,Planetaire(GB),Abigail,3-5.,3y,b,c,Mr S N Harish,V Narayana Gowda,P Kiran Rai,56.0,,,,,,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
3,5,SHAOLIN STAR,Chinese Whisper(IRE),Fury,,3y,b,g,Mr Arun Alagappan rep.  Arun Alagappan Racing LLP,Rajesh Narredu,R N Darshan,56.0,,,,,TS-BLK,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
4,1,ZENZELE,Cougar Mountain(IRE),Siyabonga,,3y,b,g,"Mr K N Dhunjibhoy, Mr Z K Dhunjibhoy & Ms Anosha Meyers rep. Five Stars Shipping Co Pvt Ltd",S S Attaollahi,Shreyas Singh,56.0,,,,,TS,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
5,6,ARISTOCRATIC QUEEN,Ghaiyyath(IRE),Polar River(USA),,3y,dkb,f,"Mr Daulat Chhabria, Mr Teja Gollapudi, Mr Ashok Ranpise, Mr Atul Ishwardas Chordia, Mr Rashmee A Amersey rep. So Blest Trading Co. Pvt Ltd, Mr Anil Saraf & Dr Prabhakar Chowdary Tripuraneni",Satish Narredu,Suraj Narredu,54.5,,,,,TS-RBB,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
6,8,CHARMING PROSPECT,Roderic O'connor(IRE),Devoted Eyes,5-4.,3y,b,f,Mr Charles Chinna Durai,V Lokanath,A Ashhad Asbar,54.5,,,,,,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
7,4,JUMEIRA,Oasis Dream(GB),Miss Marina Bay(GB),,3y,b,f,"Mr Geoffrey B Nagpal, Mrs Charonne Nagpal, Mr D R rep. Thacker DT Racing & Breeding LLP, Mr Kishore Rungta, Mr Angad Singh rep. Mukteshwar Racing LLP & Mr S R Sanas",Arjun Mangalorkar,Antony Raj S,54.5,,,,,TS-CNB,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
8,3,ZAKHAROVA,Sporting Chance(GB),Varcasva,,3y,b,f,"Mr Saleem A Jasdanwalla, Mr Shamil Muthanna, Mr Mohd. Javeed Ghatala & Ms Silva Storai",Irfan Ghatala,Pavan,54.5,,,,,HOOD,3,The Esquire Plate Div-1,Maiden / Horses 3 Years Old Only,1200 M,03:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
