horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,3,PRIDE ASIDE,Sedgefield(USA),Cerrado,1-4-4-3-6.,4y,b,f,Kunwar Digvijay Singh Shekhawat,N Ravinder Singh,Kuldeep Singh (jr),61.5,-2.5,A,TS-HB,47,45,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
2,7,ORIONVALE,Sedgefield(USA),Timeless Love(IRE),5-2-1-3-6.,4y,ch,c,Mr Ashok Kumar Gupta & Mr Shankar Srinivas,A Imran Khan,A A Vikrant,61,,A,TS-XNB,46,44,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
3,5,MOUNTAIN TOUCH,Cougar Mountain(IRE),Enlighten Me,1-5-3-9-9.,5y,ch,m,"Mr N Shyam Sunder, Mr A C Subbaiah & Mr Vara Prasad Reddy",N Rawal,Neeraj Rawal,60,,A,TS,44,42,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
4,6,DIVINE TIGER,Accolade,Vision Of Art,2-1.,3y,b,c,Mr Paramvir Singh,L V R Deshmukh,Akshay Kumar,59.5,,A,TS-XNB,0,41,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
5,2,ONLY MY WAY,Smuggler's Cove(IRE),Winning Fortune,8-6-5-11-10.,7y,b,g,Mr Syed Mohiuddin Mufeed,M F Ali Khan,Rafique Sk,58,,A,TS-BLK,43,38,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
6,4,YUVRAJ,Top Class(USA),Cinch,6-7-10-5-1.,4y,b,g,"Mr Sudarshan Singh Rathore Kanwar, Mr Suchit Jayraj Shah & Mr Rishiraj Singh Rathore",D Netto,Kuldeep Singh,57.5,,A,TS-XNB,30,37,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
7,1,LA FLEURIERE,Dreamfield(GB),Chula Vista,3-2-4-2-3.,4y,b,f,M/s Sarainaga Racing Private Limited,Bharath Singh,P Trevor,57,,A,TS,37,36,4,The Malakpet Plate,"Class 4 / A Handicap For Horses Rated 20 To 45, 3 Year Olds And Upward (Cat-3)",1600 M,02:45 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
