horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,6,DREAM TO FLY,Phoenix Tiger,Corona Di Oro,3-3-3-3-2.,5y,b,m,Mr Narasimha Reddy Banala & Mr Rakesh Reddy Kondakalla,Robin R Kondakalla,G Naresh,60,,S,TS-HB,35,36,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
2,4,LA QUINTA,Well Done Fox(GB),Xtreme,2-5-4-2-4.,4y,b,g,"Mr M Ramakrishna Reddy, Mr Bharat Venkat Epur & Mrs Rajini Meka",K S V Prasad Raju,Ajay Kumar,59,,A,TS-BLK-XNB,36,34,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
3,2,EK,Dreamfield(GB),Ans Ans Ans,5-2-7-2-3.,4y,b,f,Mr Syed Mohiuddin Mufeed,Magan Singh,Akshay Kumar,58.5,,A,TS,34,33,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
4,5,MY HONEY,Well Done Fox(GB),Show Off,4-2-11-3-9.,4y,b,f,Mr Saleem A Jasdanwalla,D Netto,Kuldeep Singh,57,,A,BLK,32,30,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
5,1,VALLEDONNA,Deauville(IRE),La Dona,3-7-3-2-5.,4y,b,f,Mr C Aryama Sundaram,L V R Deshmukh,P Trevor,57,,A,TS,32,30,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
6,8,ZINDABAD,French Navy(GB),Flaming Gold,4-6.,4y,b,g,Mr Ashok Kumar Gupta & Mr M Vasudev Rao,R H Sequeira,B R Kumar,56,,A,TS-XNB,30,28,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
7,9,HONEY LUNA,Make Believe(GB),Landale(GB),4-4-3-8.,4y,b,f,Mr H S Srikanth & Mr Anup Kumar Bajaj,M Srinivas Reddy,Abhay Singh,55,,A,TS,28,26,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
8,3,FAIZAH,Arod(IRE),Shawarma,3-5-5-6-12.,4y,b,f,Mrs Anasuya Gupta & Mr Abhiroop Gupta rep. A G Bloodstock LLP & Mrs Eeda Gujral Chopra,Bharath Singh,Rafique Sk,53.5,,A,TS,26,23,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
9,7,RATE OF INTEREST,Desert God,Starynessey,7-11-9-10.,4y,ch,f,Mr Venkata Ramana Reddy Bommareddy,Robin R Kondakalla,Santosh Raj N R,53,,S,,26,22,5,The Shamirpet Trophy Div-1,"Class 4 / A Handicap For Maiden Horses Rated 20 To 45, 4 Year Olds And Upward (Cat-3)",1200 M,03:20 PM,Winner:₹.292500 Second:₹.162500 Third:₹.130000 Fourth:₹.32500 Fifth:₹.19500 Sixth:₹.13000 Total:₹.650000,
