16 Jul 2026 | HYD | Analysis (G Naresh ) 59 600/44, Moved Well. | (-1) | 800m | Sand
10 Jul 2026 | HYD | Analysis (G Naresh ) 1-0 600/45, moved well. | (Even) | 800m | Sand
22 Jul 2026 | HYD | Double Bubble (Kuldeep Singh), Cypress (B Nikhil ), 59 600/44 Pair Moved Well. | (-1) | 800m | Sand
17 Jul 2026 | HYD | Cypress (App ) 1-19 800/1-2, 600/46, Moved Easy. | (+4) | 1000m | Sand
15 Jul 2026 | HYD | Cypress (App ) 1-0 600/44, Moved Well. | (Even) | 800m | Sand
23 Jul 2026 | HYD | Phoebus (Aa Vikrant), Daring Spirit (Rb ), 1-15 800/59, 600/44, Former Finished 2l In Front. | (Even) | 1000m | Sand
19 Jul 2026 | HYD | Daring Spirit (RB), Phoebus (AA Vikrant ), 59 600/44, pair moved well. | (-1) | 800M | Sand
16 Jul 2026 | HYD | Cosmic Gift (Aa Vikrant), Daring Spirit (App ), 1-18 800/1-2, 600/45, Pair Finished Level. | (+3) | 1000m | Sand
26 Jul 2026 | HYD | Divine Faith (Rb ) 1-1 600/47, Handy. | (+1) | 800m | Sand
22 Jul 2026 | HYD | Divine Faith (App ) 58 600/44 Handy. | (-2) | 800m | Sand
