horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,11,ASHWA VIVEGAM,Knotty Ash,Queens Grace,6-8-8.,3y,ch,g,Mrs Anita Chauhan,N Ravinder Singh,Gaurav Singh,56,,A,TS-XNB,0,30,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
2,1,OJAS MAXIMUS,Well Done Fox(GB),Szable,5.,3y,b,g,Mr N V Rohin Kumar & Mr Vijay Anand Jangiti,S Sreekant,A A Vikrant,56,,A,,0,0,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
3,3,YALI,Top Class(USA),Elusive Legend,2-2.,3y,dkb,c,"Mrs Anasuya Gupta rep. A G Bloodstock LLP & Mr Abhiroop Gupta, Mr Shantanu Sharma, Mr Bal Krishan Agarwal & Mr Aditya Ghosh",Bharath Singh,P Trevor,56,,A,XNB,0,36,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
4,10,ASHWA JAFFNA,Moonlight Magic(GB),Attalea(IRE),8-6.,3y,b,f,Mr Ravinder Pal Singh Chauhan,N Ravinder Singh,B Nikhil,54.5,,A,TS-BLK,0,27,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
5,9,BELGIUM WAFFLE,Moonlight Magic(GB),Enjoy,7-3.,3y,ch,f,Mr Vipin Kalra,Jasbir Singh,Mohit Singh,54.5,,A,TS,0,28,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
6,6,EVAN SVILLE,Plumatic(GB),Romantique,,3y,ch,f,Mr M Rama Krishna Reddy,K S V Prasad Raju,P Sai Kumar,54.5,,A,,0,0,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
7,4,GACCHANMANASVIN,Sporting Chance(GB),Vittoria,5-3.,3y,b,f,Mr N Shyam Sunder & Mr Vara Prasad Reddy,N Rawal,Md Ismail,54.5,,A,TS,0,28,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
8,7,LOVE IN PARIS,French Navy(GB),Translation(GB),9-5.,3y,b,f,Mr M Raghunath rep. by Gava Racing Syndicate LLP & Mr P Amarender Reddy,K Satheesh,Jodha R S,54.5,,A,HOOD,0,27,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
9,13,MISS LOVELY ANGEL,Surfrider(IRE),Sassy Lass,,3y,b,f,Mr V Narendar Reddy & Mr V Avinash Reddy,G Shashikanth,Rafique Sk,54.5,,A,,0,0,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
10,8,N R I SUNPOWER,Win Legend(JPN),Glamorous Approach,,3y,b,f,Mr Ravinder Reddy Male,R H Sequeira,B R Kumar,54.5,,A,,0,0,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
11,2,SPEEDY QUEEN,Harry Angel(IRE),Soryah(IRE),4.,3y,ch,f,Dr Suresh Chintamaneni,L V R Deshmukh,Akshay Kumar,54.5,,A,TS-BLK,0,0,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
12,12,STAR LIT,Arod(IRE),Dazzling Star,13-8.,3y,dkb,f,Mr S Pathy,Laxman Singh,G Naresh,54.5,,A,TS,0,27,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
13,5,TREND SETTER,Sporting Chance(GB),Tijuca Forest,,3y,b,f,Mr Meka Nitish Reddy & Mr Gundla Narender,M Srinivas Reddy,Abhay Singh,54.5,,A,,0,?,1,The Adilabad Plate Div-1,Maiden / For Horses 3 Year Olds Only (Cat-2) (No allowance can be claimed),1100 M,01:10 PM,Winner:₹.551250 Second:₹.306250 Third:₹.245000 Fourth:₹.61250 Fifth:₹.36750 Sixth:₹.24500 Total:₹.1225000,
