horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,8,IMPERADOR,Gusto(GB),Castanea,1-4-5-2-1.,4y,b,g,"Mr Arun Alagappan rep. Arun Alagappan Racing LLP, Mr M P Vikram, Mr A S Karthik Chandra, Mr Ronak J Kimmane & Mr Ananth Iyengar",Prasanna Kumar,Pavan,62,-2.5,,A,,TS-HOOD,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
2,4,AGRIMA,Fiero(JPN),Aspenglow(USA),6-4-1.,4y,b,f,Mr Nirash Bothara & Mr M Eshwer,M Eshwer,Laxman Singh,60,-5,,A,,TS-CNB,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
3,10,YARRA YARRA,Win Legend(JPN),Stimulate,5-1.,3y,b,f,Mr & Mrs Dilip Thomas rep. The Rajagiri Rubber & Produce Company Limited & Mr Tegbir Singh Brar rep. Sarainaga Racing Pvt Ltd,Arjun Mangalorkar,Antony Raj S,60,,,A,,TS-CNB,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
4,2,SHUTTERFLY,Leitir Mor(IRE),Isn't She Special,3-1.,3y,b,f,"Mr Zavaray S Poonawalla, Mrs Behroze Z Poonawalla, Mr Yohan Z Poonawalla, Mrs Michelle Y Poonawalla, Ms Delna Z Poonawalla, Mrs Simone Poonawalla Pandole and Mr Rishad N Pandole rep. Poonawalla Racing & Breeding Pvt Ltd",S S Attaollahi,P Trevor,58.5,,,A,,TS-CNB,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
5,3,FREDERIKA,Fiero(JPN),Little Treasure(FR),1.,4y,b,g,Mr P Arun Kumar,S John,Akshay Kumar,58,,,A,,TS,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
6,1,SASSY,Cougar Mountain(IRE),Titian's Pride(USA),9-6-6-5-4.,6y,b,m,Mr Amarjeet Singh Narula,G Y Rajesh Babu,P Kiran Rai,58,,,A,,TS,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
7,12,SHAHENSHAAH,Sedgefield(USA),Dixie Dahlin(USA),4-6-8-3-4.,7y,b,g,Mr Waseem Dadapeer,Praveen Jesu,Faizan Khan,57,,,A,,TS-CNB,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
8,7,MICHIKO,Moonlight Magic(GB),Merveilleuse,4-5-7-1-6.,5y,b,g,Mr B M Rajashekar,G Y Rajesh Babu,G Praveen,56,,,A,,TS-BLK,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
9,5,APPROVAL,Fiero(JPN),Missing You,6-7.,3y,dkb,c,"Mr Kersi H Vachha, Mr Balam Mohla, Mr Teja Gollapudi & Dr Prabhakar Chowdary Tripuraneni",Rajesh Narredu,R N Darshan,55,,,A,,TS,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
10,6,BIG B,Dreamfield(GB),Everybreakingwave,3-7-2.,4y,b,g,Mr Babu Krishna Kishore,V Narayana Gowda,M Rajesh Kumar,54.5,,,A,,,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
11,11,HANIEL,Plumatic(GB),Angel Grace,4-6.,3y,b,f,Mr Mukul A Sonawala & Mr Chetan Shantilal Shah,Darius Byramji,Arul J H,53.5,,,A,,HD-TS-BB,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
12,9,STAR SYMPHONY,Phoenix Tower(USA),Star Appearance,2-2-7-3-11.,5y,b,m,Mr K V Prabhu Dev,K Pradeep Annaiah,L Alex Rozario,51,,,A,,BLK,7,The Xisca Plate,Class 4 / Horses Rated 20 to 45,1500 M,05:00 PM,Winner:₹.254995 Second:₹.127495 Third:₹.76495 Fourth:₹.29585 Fifth:₹.14280 Sixth:₹.7150 Total:₹.510000,
