horse,date,swim_count
GOLDEN BIRD,23/07/2026,1
SAPIENT,14/07/2026,1
SAPIENT,18/07/2026,1
SAPIENT,21/07/2026,1
SINATRA,14/07/2026,1
SINATRA,16/07/2026,1
SINATRA,17/07/2026,2
SINATRA,21/07/2026,1
SINATRA,22/07/2026,1
SINATRA,23/07/2026,1
SINATRA,24/07/2026,1
SINATRA,25/07/2026,1
SUPER STRIDE,14/07/2026,2
SUPER STRIDE,16/07/2026,1
SUPER STRIDE,17/07/2026,1
SUPER STRIDE,20/07/2026,2
SUPER STRIDE,21/07/2026,1
SUPER STRIDE,22/07/2026,1
SUPER STRIDE,23/07/2026,1
SUPER STRIDE,24/07/2026,1
SUPER STRIDE,25/07/2026,1
