07 Jul 2026 | BAN | Big B (M Rajesh Kumar ) 1-9 600 In 39 Stretched Out Well. | (-6) | 1000m | Inner Sand
30 Jun 2026 | PUN | Big Bay (S.J.Sunil ) 52 600 39, Moved nicely. | (-8) | 800M | Inner Sand
16 Jun 2026 | BAN | Art Of Romance (Kiran Rai P), Big B (M Rajesh Kumar ), 1-12 600 In 43 Former 3 Lengths Ahead. | (-3) | 1000m | outer Sand
18 Jul 2026 | BAN | Haniel (J H Arul ) 1-26 1000 In 1-10.5 600 In 42 Good. | (-4) | 1200m | Outer Sand
12 Jul 2026 | BAN | Haniel (J H Arul), Eminent Gold (Saqlain S ), 1-12.5 600 In 42.5 Former 5 Lengths Ahead. | (-2) | 1000m | Outer Sand
22 Jun 2026 | BAN | Haniel (J H Arul ) 1-11 600 In 41.5 Ignore Last Run. | (-4) | 1000m | Outer Sand
16 Jun 2026 | BAN | Haniel (J H Arul ) 1-24 1200 To 600 In 39.5 Good Jump. | (-6) | 1200m | Gate Practice
26 May 2026 | BAN | Haniel (J H Arul ) 1-12 600 In 41 Impressed. | (-3) | 1000m | Outer Sand
20 May 2026 | BAN | Haniel (J H Arul), Transformative (A R Pradeep ), 1-23 1200 To 600 In 43 Former Distance Ahead. | (-7) | 1200m | Gate Practice
16 May 2026 | BAN | Haniel (J H Arul ) 1-14.5 600 In 43 Stretched. | (+0) | 1000m | Outer Sand
12 May 2026 | BAN | Haniel (J H Arul ) 44 Stretched. | (-1) | 600m | Outer Sand
28 Apr 2026 | BAN | Agrador (A.R.Pradeep), Regal Beauty (Akshay Kumar), Haniel (J.H. Arul ), 1-21 From 1200 to 600 in 38.5 Trio good jump 8 and 4 length separated them. | (-9) | 1200M | Gate Practice
24 Apr 2026 | BAN | Haniel (J H Arul ) 44 Moved Well. | (-1) | 600m | Outer Sand
19 Apr 2026 | BAN | Haniel (J.H.Arul), Palma (K.SaiKiran ), 1-13 600/43 Former better. | (-2) | 1000M | Outer Sand
15 Apr 2026 | BAN | Haniel (J.H.Arul), Palma (K.SaiKiran ), 44 Former 4 length ahead. | (-1) | 600M | Outer Sand
10 Apr 2026 | BAN | Haniel (J H Arul), Palma (K Saikiran ), 45 Former 5 Length Ahead. | (Even) | 600M | Outer Sand
16 Jun 2026 | BAN | Superstar (Saurav Rawat), Black Irish (Pavan), Mandate (Aleemuddin), Gold Empire (G.praveen), Lex Luthor (Mohd Talib), Star Symphony (Anish Hangal ), 1-34.01 Won By:1,1 1/4,3,5 1/4, & 51 1/4 1st Named Slightly Slow Jump Gold Empire And Lex Luthor Sand Track After 400m. | (-10) | 1400m | Mock Race
