horse,date,swim_count
COEUR DE LION,14/07/2026,1
COEUR DE LION,17/07/2026,1
COEUR DE LION,18/07/2026,1
COEUR DE LION,21/07/2026,1
COEUR DE LION,23/07/2026,1
COEUR DE LION,24/07/2026,1
CONSTANT VARIABLE,14/07/2026,1
CONSTANT VARIABLE,16/07/2026,2
CONSTANT VARIABLE,17/07/2026,2
CONSTANT VARIABLE,20/07/2026,1
CONSTANT VARIABLE,22/07/2026,2
CONSTANT VARIABLE,23/07/2026,2
CONSTANT VARIABLE,24/07/2026,1
CONSTANT VARIABLE,25/07/2026,2
MIND GAMES,14/07/2026,1
MIND GAMES,16/07/2026,1
MIND GAMES,17/07/2026,1
MIND GAMES,21/07/2026,1
MIND GAMES,22/07/2026,1
MIND GAMES,23/07/2026,1
MIND GAMES,25/07/2026,2
SINGER SARGENT,16/07/2026,1
SINGER SARGENT,18/07/2026,1
SINGER SARGENT,20/07/2026,1
SINGER SARGENT,24/07/2026,1
SINGER SARGENT,25/07/2026,1
SMILES OF FORTUNE,23/07/2026,1
SMILES OF FORTUNE,24/07/2026,1
SMILES OF FORTUNE,25/07/2026,1
