horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,6,STARLIGHT WHISPER,French Navy(GB),Another Chance,12-5-8-12-5.,4y,b,f,Mr Husain Sultanali Nensey & Mrs Nissa Hoosein Nensey,J Sebastian,Pavan,62.5,-2.5,A,TS-BLK,25,25,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
2,7,LOOKING FOR LADOO,Fiero(JPN),Cheerleader,5-1-4-6.,6y,b,m,Mr S D Aravindh,K S Mandanna,M Prabhu Kumar,62,-5,A,TS-BLK,30,24,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
3,1,OCEAN OF GRACE,Win Legend(JPN),Flying Show,2-9-9-4-6.,4y,dkb,g,Mr Jose Joseph,J Ganesh,S Imran,62,,A,TS-HD,26,24,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
4,12,KALLIPOS,Whatsthescript(IRE),Cocktail Circuit,8-8-1-9-10.,6y,b,m,Mr M P Biddappa,M M Uthaiah,Jitendra Singh,61,-5,A,TS-CNB,24,22,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
5,9,KALLANIA,Western Aristocrat(USA),Zafran,9-5-4-8-8.,6y,dkb,m,Mr K S Kiran & Mr Imran Khan,R Yogesh,A R Pradeep,60,,A,TS-BLK,22,20,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
6,8,ALWAYS FOR YOU,Ampere(FR),Sea The Dream,10-8-9-8-3.,4y,b,g,Mr C D Monnappa,C D Monnappa,Faiz,59.5,-2.5,A,CNB,18,19,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
7,5,ARIES CELESTIAL,Decado(IRE),Polar Zone,12-7-10.,5y,ch,g,Mr G K Tharwani,G T Surender,J Paswan,58,,A,TS-BLK,18,16,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
8,3,ARMAMENT,Sussex(GB),Cannon Jet,10-8-7-3-3.,8y,ch,m,Mr Ranjeet Shinde,Ranjeet Shinde,Abhishek Mhatre,58,-2.5,A,CNB-SCP,15,16,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
9,10,DAVIDS DELIGHT,David Livingston(IRE),Darayka(FR),7-8-2-7-7.,6y,b,g,Mr Sunil Santhosh Serrao,R Helleal Moses,M S Deora,57.5,,A,TS-CNB,17,15,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
10,4,DAKSHA,David Livingston(IRE),Rose Gold,11-3-8-12-6.,5y,dkb,g,Mr Mahesh V Chakankar,J S Pillay,Anil Bandal,57,,A,BLK-TS,16,14,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
11,2,KING CARLOS,David Livingston(IRE),Kimono,9-10-9-5-4.,7y,b,g,Mr S Ramesh,Mansoor Khan,Ankit Pal,57,,A,TS-CNB,14,14,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
12,11,MIRACLE HONEY,Royal Gladiator,Lusty,7-6-6-3-3.,7y,b,m,Mr K Rakesh Raje Urs,S Ashwin Rao,A Ashhad Asbar,54.5,,A,TS-BLK-CNB,8,9,3,The Manasasarovara Plate,Class 5 / Horses Rated 00 to 25,1600 M,02:30 PM,Winner:₹.187505 Second:₹.93750 Third:₹.46875 Fourth:₹.23435 Fifth:₹.14060 Sixth:₹.9375 Total:₹.375000,
