horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,5,DARRINGER,Lord Admiral(USA),Admired,5.0,3y,b,g,"M/s Ajaad Stud and Livestock (OPC) Pvt Ltd, Ms Silva Storai & Mrs V Kaviya",Irfan Ghatala,N Arvind Kumar,56.0,,,,,TS-CNB,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
2,6,IRON FLAME,Sanus Per Aquam(IRE),Celestrella,,3y,dkb,g,"Mr M Srinivasa, Mr Sundeep Nayak & Mr Noel Joseph Saldanha",Kishan Thomas,Vinod Shinde,56.0,,,,,TS-CNB,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
3,1,ACT OF KINDNESS,Leitir Mor(IRE),Mahateji,,3y,ch,f,"M/s Villoo Poonawalla Racing & Breeding Pvt Ltd, Mr D R Thacker rep. DT Racing & Breeders LLP, Mr Atul Ishwardas Chordia & Mr S R Sanas",Prasanna Kumar,P Trevor,54.5,,,,,TS-HOOD,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
4,7,BAY VIEW,Arod(IRE),Sea Fairey,10.0,3y,b,f,Mr S Pathy,Irfan Ghatala,L Alex Rozario,54.5,,,,,CNB,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
5,8,COMO,Arod(IRE),Gracious Melange(GB),,3y,b,f,"Mr D R Thacker rep. DT Racing & Breeders LLP, Mr S R Sanas & Mr Ashok Ranpise",S S Attaollahi,Akshay Kumar,54.5,,,,,TS,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
6,4,QUALIFY,Leitir Mor(IRE),Qawaafy(USA),,3y,b,f,"Mr Rashmee A Amersey rep. So Blest Trading Co. Pvt Ltd, Mr Teja Gollapudi, Dr Prabhakar Chowdary Tripuraneni, Mr Anil Saraf & Mr Jehangir Homi Mehta",Rajesh Narredu,R N Darshan,54.5,,,,,TS,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
7,2,SINDOOR,Dreamfield(GB),Star And Garter,5.0,3y,ch,f,Mr Rajendran rep. Rapar's Galloping Stars LLP,Arjun Mangalorkar,Antony Raj S,54.5,,,,,TS-CNB,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
8,3,SPARK OF LIFE,Leitir Mor(IRE),Chase The Sun,4.0,3y,ch,f,Mr P Arun Kumar,S John,Yash Narredu,54.5,,,,,CNB-RBB,1,The Esquire Plate Div-2,Maiden / Horses 3 Years Old Only,1200 M,02:00 PM,Winner:₹.550000 Second:₹.275000 Third:₹.165000 Fourth:₹.63800 Fifth:₹.30800 Sixth:₹.15400 Total:₹.1100000,
